"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"220","Arkansas","AR",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"221","Arkansas","AR",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"222","Arkansas","AR",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"223","Arkansas","AR",2020-03-18 10:45:53,2020-03-08,12,2825,56,0,11
"224","Arkansas","AR",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"225","Florida","FL",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"226","Florida","FL",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"227","Florida","FL",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"228","Florida","FL",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"229","Florida","FL",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"230","Florida","FL",2020-03-18 10:45:53,2020-03-01,8,353,19,0,10
"231","Florida","FL",2020-03-18 10:45:53,2020-03-08,108,2825,56,0,11
"232","Florida","FL",2020-03-18 10:45:53,2020-03-15,76,5626,90,0,12
"233","Georgia","GA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"234","Georgia","GA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"235","Georgia","GA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"236","Georgia","GA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"237","Georgia","GA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"238","Georgia","GA",2020-03-18 10:45:53,2020-03-01,7,353,19,0,10
"239","Georgia","GA",2020-03-18 10:45:53,2020-03-08,59,2825,56,0,11
"240","Georgia","GA",2020-03-18 10:45:53,2020-03-15,80,5626,90,0,12
"241","Kentucky","KY",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"242","Kentucky","KY",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"243","Kentucky","KY",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"244","Kentucky","KY",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"245","Kentucky","KY",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"246","Kentucky","KY",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"247","Kentucky","KY",2020-03-18 10:45:53,2020-03-08,15,2825,56,0,11
"248","Kentucky","KY",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"249","Louisiana","LA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"250","Louisiana","LA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"251","Louisiana","LA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"252","Louisiana","LA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"253","Louisiana","LA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"254","Louisiana","LA",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"255","Louisiana","LA",2020-03-18 10:45:53,2020-03-08,77,2825,56,0,11
"256","Louisiana","LA",2020-03-18 10:45:53,2020-03-15,119,5626,90,0,12
"257","Mississippi","MS",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"258","Mississippi","MS",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"259","Mississippi","MS",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"260","Mississippi","MS",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"261","Mississippi","MS",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"262","Mississippi","MS",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"263","Mississippi","MS",2020-03-18 10:45:53,2020-03-08,6,2825,56,0,11
"264","Mississippi","MS",2020-03-18 10:45:53,2020-03-15,15,5626,90,0,12
"265","North Carolina","NC",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"266","North Carolina","NC",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"267","North Carolina","NC",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"268","North Carolina","NC",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"269","North Carolina","NC",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"270","North Carolina","NC",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
"271","North Carolina","NC",2020-03-18 10:45:53,2020-03-08,21,2825,56,0,11
"272","North Carolina","NC",2020-03-18 10:45:53,2020-03-15,17,5626,90,0,12
"273","South Carolina","SC",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"274","South Carolina","SC",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"275","South Carolina","SC",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"276","South Carolina","SC",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"277","South Carolina","SC",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"278","South Carolina","SC",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
"279","South Carolina","SC",2020-03-18 10:45:53,2020-03-08,17,2825,56,0,11
"280","South Carolina","SC",2020-03-18 10:45:53,2020-03-15,28,5626,90,0,12
"281","Tennessee","TN",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"282","Tennessee","TN",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"283","Tennessee","TN",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"284","Tennessee","TN",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"285","Tennessee","TN",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"286","Tennessee","TN",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"287","Tennessee","TN",2020-03-18 10:45:53,2020-03-08,31,2825,56,0,11
"288","Tennessee","TN",2020-03-18 10:45:53,2020-03-15,41,5626,90,0,12
"289","Texas","TX",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"290","Texas","TX",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"291","Texas","TX",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"292","Texas","TX",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"293","Texas","TX",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"294","Texas","TX",2020-03-18 10:45:53,2020-03-01,8,353,19,0,10
"295","Texas","TX",2020-03-18 10:45:53,2020-03-08,43,2825,56,0,11
"296","Texas","TX",2020-03-18 10:45:53,2020-03-15,13,5626,90,0,12
"297","Virginia","VA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"298","Virginia","VA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"299","Virginia","VA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"300","Virginia","VA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"301","Virginia","VA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"302","Virginia","VA",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"303","Virginia","VA",2020-03-18 10:45:53,2020-03-08,40,2825,56,0,11
"304","Virginia","VA",2020-03-18 10:45:53,2020-03-15,26,5626,90,0,12
"305","West Virginia","WV",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"306","West Virginia","WV",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"307","West Virginia","WV",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"308","West Virginia","WV",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"309","West Virginia","WV",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"310","West Virginia","WV",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"311","West Virginia","WV",2020-03-18 10:45:53,2020-03-08,0,2825,56,0,11
"312","West Virginia","WV",2020-03-18 10:45:53,2020-03-15,1,5626,90,0,12
"313","Connecticut","CT",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"314","Connecticut","CT",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"315","Connecticut","CT",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"316","Connecticut","CT",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"317","Connecticut","CT",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"318","Connecticut","CT",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"319","Connecticut","CT",2020-03-18 10:45:53,2020-03-08,20,2825,56,0,11
"320","Connecticut","CT",2020-03-18 10:45:53,2020-03-15,48,5626,90,0,12
"321","District of Columbia","DC",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"322","District of Columbia","DC",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"323","District of Columbia","DC",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"324","District of Columbia","DC",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"325","District of Columbia","DC",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"326","District of Columbia","DC",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"327","District of Columbia","DC",2020-03-18 10:45:53,2020-03-08,15,2825,56,0,11
"328","District of Columbia","DC",2020-03-18 10:45:53,2020-03-15,14,5626,90,0,12
"329","Delaware","DE",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"330","Delaware","DE",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"331","Delaware","DE",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"332","Delaware","DE",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"333","Delaware","DE",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"334","Delaware","DE",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"335","Delaware","DE",2020-03-18 10:45:53,2020-03-08,6,2825,56,0,11
"336","Delaware","DE",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"337","Massachusetts","MA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"338","Massachusetts","MA",2020-03-18 10:45:53,2020-01-26,1,8,0,0,5
"339","Massachusetts","MA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"340","Massachusetts","MA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"341","Massachusetts","MA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"342","Massachusetts","MA",2020-03-18 10:45:53,2020-03-01,12,353,19,0,10
"343","Massachusetts","MA",2020-03-18 10:45:53,2020-03-08,125,2825,56,0,11
"344","Massachusetts","MA",2020-03-18 10:45:53,2020-03-15,80,5626,90,0,12
"345","Maryland","MD",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"346","Maryland","MD",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"347","Maryland","MD",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"348","Maryland","MD",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"349","Maryland","MD",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"350","Maryland","MD",2020-03-18 10:45:53,2020-03-01,3,353,19,0,10
"351","Maryland","MD",2020-03-18 10:45:53,2020-03-08,23,2825,56,0,11
"352","Maryland","MD",2020-03-18 10:45:53,2020-03-15,31,5626,90,0,12
"353","Maine","ME",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"354","Maine","ME",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"355","Maine","ME",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"356","Maine","ME",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"357","Maine","ME",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"358","Maine","ME",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"359","Maine","ME",2020-03-18 10:45:53,2020-03-08,3,2825,56,0,11
"360","Maine","ME",2020-03-18 10:45:53,2020-03-15,29,5626,90,0,12
"361","New Hampshire","NH",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"362","New Hampshire","NH",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"363","New Hampshire","NH",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"364","New Hampshire","NH",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"365","New Hampshire","NH",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"366","New Hampshire","NH",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
"367","New Hampshire","NH",2020-03-18 10:45:53,2020-03-08,5,2825,56,0,11
"368","New Hampshire","NH",2020-03-18 10:45:53,2020-03-15,19,5626,90,0,12
"369","New Jersey","NJ",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"370","New Jersey","NJ",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"371","New Jersey","NJ",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"372","New Jersey","NJ",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"373","New Jersey","NJ",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"374","New Jersey","NJ",2020-03-18 10:45:53,2020-03-01,4,353,19,0,10
"375","New Jersey","NJ",2020-03-18 10:45:53,2020-03-08,65,2825,56,0,11
"376","New Jersey","NJ",2020-03-18 10:45:53,2020-03-15,198,5626,90,0,12
"377","New York","NY",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"378","New York","NY",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"379","New York","NY",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"380","New York","NY",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"381","New York","NY",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"382","New York","NY",2020-03-18 10:45:53,2020-03-01,89,353,19,0,10
"383","New York","NY",2020-03-18 10:45:53,2020-03-08,524,2825,56,0,11
"384","New York","NY",2020-03-18 10:45:53,2020-03-15,761,5626,90,0,12
"385","Pennsylvania","PA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"386","Pennsylvania","PA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"387","Pennsylvania","PA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"388","Pennsylvania","PA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"389","Pennsylvania","PA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"390","Pennsylvania","PA",2020-03-18 10:45:53,2020-03-01,4,353,19,0,10
"391","Pennsylvania","PA",2020-03-18 10:45:53,2020-03-08,43,2825,56,0,11
"392","Pennsylvania","PA",2020-03-18 10:45:53,2020-03-15,49,5626,90,0,12
"393","Rhode Island","RI",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"394","Rhode Island","RI",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"395","Rhode Island","RI",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"396","Rhode Island","RI",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"397","Rhode Island","RI",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"398","Rhode Island","RI",2020-03-18 10:45:53,2020-03-01,3,353,19,0,10
"399","Rhode Island","RI",2020-03-18 10:45:53,2020-03-08,17,2825,56,0,11
"400","Rhode Island","RI",2020-03-18 10:45:53,2020-03-15,1,5626,90,0,12
"401","Vermont","VT",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"402","Vermont","VT",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"403","Vermont","VT",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"404","Vermont","VT",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"405","Vermont","VT",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"406","Vermont","VT",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"407","Vermont","VT",2020-03-18 10:45:53,2020-03-08,4,2825,56,0,11
"408","Vermont","VT",2020-03-18 10:45:53,2020-03-15,13,5626,90,0,12
"409","Guam","GU",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"410","Guam","GU",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"411","Guam","GU",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"412","Guam","GU",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"413","Guam","GU",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"414","Guam","GU",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"415","Guam","GU",2020-03-18 10:45:53,2020-03-08,0,2825,56,0,11
"416","Guam","GU",2020-03-18 10:45:53,2020-03-15,3,5626,90,0,12
"417","Puerto Rico","PR",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"418","Puerto Rico","PR",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"419","Puerto Rico","PR",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"420","Puerto Rico","PR",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"421","Puerto Rico","PR",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"422","Puerto Rico","PR",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"423","Puerto Rico","PR",2020-03-18 10:45:53,2020-03-08,4,2825,56,0,11
"424","Puerto Rico","PR",2020-03-18 10:45:53,2020-03-15,1,5626,90,0,12
"425","Virgin Islands","VI",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"426","Virgin Islands","VI",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"427","Virgin Islands","VI",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"428","Virgin Islands","VI",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"429","Virgin Islands","VI",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"430","Virgin Islands","VI",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"431","Virgin Islands","VI",2020-03-18 10:45:53,2020-03-08,1,2825,56,0,11
"432","Virgin Islands","VI",2020-03-18 10:45:53,2020-03-15,1,5626,90,0,12
